name,Red,Green,Blue,Grey,Luminance,Chrominance blue,Chrominance red
0.png,0.560740044670157,0.48246109821260164,0.49559082441404,0.5108817659876908,0.5050091309032436,0.3792240447743286,0.4237490466844588
1.png,0.6180203658573618,0.6067699802927062,0.6095570518735518,0.610508904696066,0.6093330012912168,0.5528440093397587,0.5901028897836129
2.png,0.5272400312022325,0.48317351963691046,0.48989653067437555,0.49885978047627166,0.49579373345759725,0.4088574762994066,0.4412105183296825
3.png,0.18260738202691051,0.16273965294307868,0.1659558082123771,0.1692590103519005,0.1678666812386771,0.14241024783934886,0.15339070848800918
4.png,0.5299744108735462,0.4942624422884241,0.49874662973675377,0.5052719499801999,0.5030185905737208,0.45988132409981664,0.4680156687261918
5.png,0.5099125650138961,0.48901648393417485,0.49599103117487064,0.5065314681266687,0.5032124336747786,0.4062036286606098,0.43094253509206026
6.png,0.4651938574773894,0.4111508798132538,0.41918038034717053,0.4297864544758597,0.426271910338188,0.3350109618874596,0.3643802014941009
7.png,0.5099125650138961,0.48317351963691046,0.48989653067437555,0.49885978047627166,0.49579373345759725,0.4192141398235235,0.4412105183296825
8.png,0.18260738202691051,0.16273965294307868,0.1659558082123771,0.1692590103519005,0.1678666812386771,0.14241024783934886,0.15339070848800918
9.png,0.3462390649761313,0.3092301623796846,0.3141366692674481,0.32180170854780066,0.319649013994742,0.2463171107104386,0.261440399883643
