name,Red,Green,Blue,Grey,Luminance,Chrominance blue,Chrominance red
i128_00.png,0.7608410462768075,0.7070642067605384,0.6737122567002816,0.7121514392332249,0.7196274376326861,0.623879467882113,0.6756779756933975
i128_01.png,0.7609557297600517,0.6617348224388623,0.6079454226853318,0.6581870510301977,0.6744335872334843,0.5954547057389181,0.656167089610719
i128_02.png,0.7378224966984797,0.6179541885734854,0.5930227215280774,0.6075911739429942,0.6236756086343009,0.6018100817170865,0.6686325508506521
i128_03.png,0.6912053601700543,0.5937305767262182,0.5695391750886567,0.5888934295173911,0.6005503800944941,0.5239751713991356,0.49225418469343285
i128_04.png,0.5877688668325223,0.5033348424550395,0.5043887239468499,0.5085043440045172,0.5120893178148842,0.4693473730217581,0.42441596384282754
i128_05.png,0.6759607556574687,0.6111749653564037,0.6138294150289875,0.6112440716561477,0.6143608868569588,0.5919737535556873,0.5149314225766684
i128_06.png,0.604873293676516,0.57115524943643,0.5736242950166403,0.5692060958516063,0.5724127248887954,0.5663700538225882,0.5174469769250414
i128_07.png,0.7522469352777554,0.5858490351410323,0.5465856944126462,0.5949492761270045,0.6095038525480923,0.5033812000093609,0.6261137107771432
i128_08.png,0.3544601439417189,0.3489635508190756,0.37233360697001905,0.34989012234718087,0.3466029312924618,0.3767177006418947,0.3275209531342901
i128_09.png,0.3544601439417189,0.3489635508190756,0.37233360697001905,0.34989012234718087,0.3466029312924618,0.3767177006418947,0.3275209531342901
i128_10.png,0.6912053601700543,0.5937305767262182,0.5695391750886567,0.5888934295173911,0.6005503800944941,0.5239751713991356,0.49225418469343285
i128_11.png,0.5142972020331436,0.47065210801859003,0.47238639613041933,0.4666417236089224,0.46953839916582274,0.44247131455204447,0.3627397667369796
i128_12.png,0.7118977467167865,0.6779389925395236,0.6554289150977313,0.6659797826150748,0.6782069153517112,0.6133922923123739,0.6183548590989176
i128_13.png,0.6475624518440661,0.5673081012948146,0.5780438317077521,0.5772185397319096,0.5778582601059872,0.5936006510087593,0.560049243034379
i128_14.png,0.7426603523723221,0.6733026795549133,0.6341605488630908,0.6743400299071315,0.6767791216288077,0.62077033172307,0.6781209029175208
i128_15.png,0.5542718955143787,0.46616828161139845,0.4846987476897787,0.47169103640138077,0.47265372169175046,0.5027011122202723,0.5189933720445719
i128_16.png,0.7973929054139961,0.5858490351410323,0.5465856944126462,0.5949492761270045,0.6095038525480923,0.5033812000093609,0.6261137107771432
i128_17.png,0.7388601195233839,0.6599755353355823,0.6439838977969417,0.6614500114370345,0.6687307638563532,0.6165037548303869,0.5968911313618239
i128_18.png,0.7178808671157617,0.6530590135543503,0.6347163111829306,0.669385568793264,0.6768136972733187,0.6373355144693278,0.6686325508506521
i128_19.png,0.7880495775364176,0.7069762225758405,0.680341948005499,0.7193379583118448,0.7255689341103639,0.6564730774017112,0.6839985855649768
i128_20.png,0.6994090810670225,0.6294208558453135,0.6128984070389825,0.627344059142287,0.6351454723982594,0.5954585543897966,0.6022693172482587
i128_21.png,0.5142972020331436,0.47065210801859003,0.47238639613041933,0.4666417236089224,0.46953839916582274,0.44247131455204447,0.3627397667369796
i128_22.png,0.36768436821892947,0.4121252449494104,0.4750868263006993,0.3965381170514186,0.3880822641947632,0.473952836232466,0.37585830878415327
i128_23.png,0.5560107672862613,0.5231067329361988,0.5152606729891788,0.5191834547192451,0.5222227424558342,0.473952836232466,0.4189836824719658
i128_24.png,0.7321016081384577,0.632500367447965,0.6059006339786694,0.6478100505043305,0.6543469273522093,0.6009786035732548,0.612190747558113
i128_25.png,0.36768436821892947,0.4121252449494104,0.4750868263006993,0.3965381170514186,0.3880822641947632,0.5276192464676184,0.37585830878415327
i128_26.png,0.7178808671157617,0.5413403733369071,0.5183437433358626,0.5551424852940631,0.5655769441299684,0.5301898305324867,0.5567366962530391
i128_27.png,0.7016741305701705,0.6784099196925741,0.6680112352168115,0.6794252908317138,0.6840850854617131,0.6382551897037074,0.5930037616489855
i128_28.png,0.8021150729681582,0.7373475609852469,0.6891535345400575,0.7445262623372935,0.7522669125854118,0.6444806851355733,0.6772819126437863
i128_29.png,0.46609044285266055,0.4611728447929334,0.4627419453774212,0.45090881224005386,0.45373063018315263,0.43199201600068715,0.37888524562616965
i128_30.png,0.5395273437329098,0.46616828161139845,0.47455762240084665,0.47169103640138077,0.47265372169175046,0.49177641277151507,0.4434975576248217
i128_31.png,0.6074807713939313,0.5631754248291303,0.5732481874756852,0.5593754820274811,0.5617175911302859,0.5411876650187717,0.4538621110546499
i128_32.png,0.46609044285266055,0.4611728447929334,0.4627419453774212,0.45090881224005386,0.45373063018315263,0.43199201600068715,0.37888524562616965
i128_33.png,0.7332472173338317,0.6191918460410761,0.5926182525962835,0.6291152421278041,0.6378838143687712,0.5600386927162093,0.5228184302067203
i128_34.png,0.604873293676516,0.57115524943643,0.5736242950166403,0.5692060958516063,0.5724127248887954,0.5663700538225882,0.5174469769250414
i128_35.png,0.7622568917290059,0.6602258326582701,0.6266358741330704,0.6663278267540295,0.6768999699524806,0.6041760785951,0.6325417747555093
i128_36.png,0.40008498882838206,0.3945526721729209,0.4142330002489901,0.3815102921395668,0.381179900951654,0.43120585470701145,0.3111253098624045
i128_37.png,0.40008498882838206,0.3945526721729209,0.4142330002489901,0.3815102921395668,0.381179900951654,0.43120585470701145,0.3111253098624045
i128_38.png,0.7118977467167865,0.6179541885734854,0.5930227215280774,0.6075911739429942,0.6236756086343009,0.6018100817170865,0.6183548590989176
i128_39.png,0.6076318615171549,0.6161756214846343,0.5927405882808001,0.6108058395960135,0.6079125775418848,0.5686980519258449,0.498562009931086
