name,Red,Green,Blue,Alpha,Grey,Luminance,Chrominance blue,Chrominance red
i128_09.png/i128_26.png,0.8851521906398608,0.9038628049011368,0.913306039099864,0.9909535776171305,0.8997402054375641,0.8982700655432055,0.8961339722682151,0.893904201509474
i128_09.png/i128_27.png,0.7415683156153937,0.8121079131308676,0.8314221105958339,0.9881773753293337,0.809933839694633,0.801523966293421,0.6733468615425987,0.6498013540278537
i128_09.png/i128_28.png,0.6838534209279709,0.7923537974275618,0.829595016117775,0.9841528298663096,0.7864194884392707,0.7747546640360766,0.6254885656495927,0.5253354064665027
i128_09.png/i128_29.png,0.8397728349539569,0.8835869765711153,0.8939122414999608,0.9838888642460674,0.8848515505468681,0.8799973796081706,0.814251608652422,0.7454770513339066
i128_09.png/i128_30.png,0.8501502128739927,0.9087563552156185,0.9016573950923332,0.9926856601263555,0.9062244505131208,0.9029305677373735,0.7913203522186939,0.7086277361397207
i128_09.png/i128_31.png,0.8194605248011745,0.8664396534940848,0.8786355188733105,0.9803339751752732,0.8655019810317622,0.8606731992719303,0.7983509409119519,0.7363983879257965
i128_09.png/i128_32.png,0.8379499957718709,0.8750571611577908,0.8818721937206876,0.9899134554838644,0.8764885279910567,0.8728381972731593,0.8174731915676793,0.7444242866302704
i128_09.png/i128_33.png,0.8492089677810126,0.9001890295241175,0.9266318571703271,0.9926566693316065,0.8931060014996285,0.8866799273419139,0.8469907011929203,0.8595938638004047
i128_09.png/i128_34.png,0.7467765745083559,0.7888806778485598,0.8016270529577576,0.9630252774743453,0.7886827117638749,0.7849326229044661,0.7393947485860809,0.6481970066366844
i128_09.png/i128_35.png,0.6633604100726723,0.7541083898155888,0.7892174796939664,0.952513362039002,0.7411438162791611,0.7345820745545829,0.6844859603847392,0.5881380723636486
i128_09.png/i128_36.png,0.8302259838566256,0.8375332511656951,0.8302411035781251,0.9759766723037477,0.8406750482120157,0.8408505503259615,0.8128146789858501,0.7594140805905273
i128_09.png/i128_37.png,0.8133115777103003,0.8378955202273441,0.8312224435171122,0.9759694572989228,0.8378098750541642,0.8370645080158761,0.7865878950774201,0.732107798706074
i128_09.png/i128_38.png,0.5795622224205892,0.5710707728165166,0.4983557879196966,0.8898584849099432,0.6469954176295806,0.6394071139727562,0.3187813773573258,0.14681294815909351
i128_09.png/i128_39.png,0.7725163974605445,0.761721839768093,0.7432000670314807,0.9707842549488053,0.7649563355557628,0.768021608563086,0.7604608451438627,0.718553877496361
i128_10.png/i128_00.png,0.6872062071073408,0.736454429900159,0.7419826734735382,0.9792022100851387,0.7398788336223935,0.7324122186728704,0.5980482810640574,0.5972798225472445
i128_10.png/i128_01.png,0.7981226823839659,0.8048658025343775,0.7308736669417092,0.9653835313842639,0.8178541313656752,0.8206640108097483,0.5562731605920774,0.5236527958381686
i128_10.png/i128_02.png,0.5887564735698938,0.7456360428604953,0.7880094315593175,0.9762864438481204,0.7681681339130019,0.7285478398376282,0.24627612490166675,0.41250374570813775
i128_10.png/i128_03.png,0.9340205004590535,0.9416554112848692,0.9431843839824163,0.9816458751424074,0.9434568075765756,0.9414976577544416,0.9089846831163226,0.9193374602473506
i128_10.png/i128_04.png,0.7945725746582287,0.8251090867591486,0.8815073584719579,0.974470927311829,0.8246822677177795,0.8145864459812223,0.8373135695119258,0.869301050362829
i128_10.png/i128_05.png,0.8620958440226568,0.877250540238421,0.9222100142736189,0.9846228094956975,0.8773693033234529,0.8703364912842451,0.9100812250116551,0.933596651242286
i128_10.png/i128_06.png,0.7070226597042208,0.7957006679023318,0.8339351282430243,0.9762138509258199,0.7950819887773595,0.7835210268663318,0.6704744030735839,0.5785247895485018
i128_10.png/i128_07.png,0.8435071940202252,0.8781638616723173,0.9298535637512262,0.9878262429494278,0.8826174997168725,0.8710606458692932,0.8559950492781921,0.8723295189891235
i128_10.png/i128_08.png,0.8127188745189093,0.8341465238828801,0.8858452291822388,0.9953337813119729,0.8362897797079021,0.8271657686956749,0.8466282292928676,0.8718786893596906
i128_10.png/i128_09.png,0.8141599708700292,0.8508620411266379,0.8955719699656264,0.9890319840329319,0.8503026073567845,0.8407755842489946,0.8249610966756017,0.8591626044793148
i128_10.png/i128_10.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
i128_10.png/i128_11.png,0.7583573982549469,0.8257496644472164,0.8748734247147417,0.9799129584816634,0.8264202469148593,0.81351714784495,0.7508138909848174,0.7414950346027249
i128_10.png/i128_12.png,0.5374613923590192,0.6796968651143681,0.6154245768791596,0.9767317945017376,0.7280339433409848,0.7105227904530663,0.2057407177102884,8.540491995024554E-4
i128_10.png/i128_13.png,0.7192879975190045,0.8047073045361213,0.8466255521950004,0.9862311240664318,0.8073679067640191,0.7930912152337307,0.6612870365809401,0.6258244604116988
i128_10.png/i128_14.png,0.7337987772847606,0.8425048524418735,0.8699904197169467,0.9857105543085433,0.8376641076795684,0.8261579532733723,0.6743775183047903,0.5780865966036586
i128_10.png/i128_15.png,0.7982939043363368,0.8794515142220556,0.8963892728750346,0.9927245451907821,0.8832548625289983,0.8728949174042498,0.7331629144235049,0.6407379658440739
i128_10.png/i128_16.png,0.7500427744862384,0.7238302229406466,0.7598459048281513,0.9389761821598366,0.7479924283420112,0.7390117282543712,0.7685634538949653,0.749749367233673
i128_10.png/i128_17.png,0.7532574983673817,0.8097854979148007,0.8696603331308044,0.9744711564230756,0.8085524847871172,0.7950007570745755,0.7721702559296678,0.8084380540605671
i128_10.png/i128_18.png,0.7062057709102866,0.7711608514738774,0.8347772971636793,0.9622243985834482,0.7648304481539946,0.7532444842637485,0.7638531420118745,0.7738324052013515
i128_10.png/i128_19.png,0.6242111774239294,0.7819759713244887,0.860159239537669,0.9756964019516514,0.7650814407680806,0.7476186673967653,0.6317944418055192,0.5609144209229665
i128_10.png/i128_20.png,0.8241001234669361,0.8784547430283784,0.9192601662422104,0.9958569902220671,0.8783542662498047,0.8692256929774321,0.8342601304964425,0.8030723618527952
i128_10.png/i128_21.png,0.738133060267014,0.7887502656537532,0.8393334206642941,0.9796278676415785,0.7913077147975526,0.7800305599471751,0.7474614072438021,0.7187523051134352
i128_10.png/i128_22.png,0.6695685470351025,0.8173280061207517,0.9041156015343296,0.9893771043821734,0.8033293838493879,0.7847953669327543,0.6956793721247423,0.6133105775872866
