0	0	0.955913
0	1	0.128966
0	2	0.605385
0	3	0.677447
0	4	0.285129
0	5	0.676191
0	6	0.800210
0	7	0.333400
0	8	0.699509
0	9	0.732716
1	0	0.157846
1	1	0.923506
1	2	0.250371
1	3	0.246698
1	4	0.350430
1	5	0.250315
1	6	0.207238
1	7	0.298084
1	8	0.214543
1	9	0.208527
2	0	0.612753
2	1	0.228791
2	2	0.955121
2	3	0.604379
2	4	0.291957
2	5	0.540395
2	6	0.573359
2	7	0.438047
2	8	0.580848
2	9	0.656994
3	0	0.671020
3	1	0.209834
3	2	0.586950
3	3	0.954371
3	4	0.348235
3	5	0.658580
3	6	0.699467
3	7	0.389220
3	8	0.871810
3	9	0.720370
4	0	0.284966
4	1	0.319635
4	2	0.288674
4	3	0.357186
4	4	0.951995
4	5	0.345286
4	6	0.396975
4	7	0.297243
4	8	0.414835
4	9	0.320134
5	0	0.678884
5	1	0.226484
5	2	0.536500
5	3	0.672663
5	4	0.348633
5	5	0.956632
5	6	0.816169
5	7	0.421879
5	8	0.719871
5	9	0.596907
6	0	0.801805
6	1	0.176869
6	2	0.564805
6	3	0.702977
6	4	0.396812
6	5	0.810453
6	6	0.962323
6	7	0.356347
6	8	0.797387
6	9	0.663384
7	0	0.349102
7	1	0.291969
7	2	0.450649
7	3	0.419779
7	4	0.314278
7	5	0.431410
7	6	0.374802
7	7	0.943039
7	8	0.379703
7	9	0.378778
8	0	0.684413
8	1	0.173125
8	2	0.560651
8	3	0.863079
8	4	0.406586
8	5	0.697466
8	6	0.784092
8	7	0.350905
8	8	0.961393
8	9	0.711705
9	0	0.723191
9	1	0.175532
9	2	0.638960
9	3	0.717355
9	4	0.312803
9	5	0.584975
9	6	0.653940
9	7	0.353135
9	8	0.716292
9	9	0.959636
