ref name;hyp name;av score;min score;max score
in-step-0.png;in-screen-0.png;0.9995229707649244;0.9994990443754651;0.9995588378020851
in-step-0.png;in-screen-1.png;0.9919510324363688;0.9885564162849867;0.9942918697356218
in-step-0.png;in-screen-2.png;0.995634498224581;0.9945766553142035;0.9963751720218936
in-step-0.png;in-screen-3.png;0.996510751226165;0.9956643972545217;0.9971315989642244
in-step-0.png;in-screen-4.png;0.9923166969004106;0.9897352167750864;0.994076974574912
in-step-0.png;in-screen-5.png;0.9963771961183401;0.9953820973060727;0.9970621127137376
in-step-0.png;in-screen-6.png;0.9975611036332146;0.9968363062786492;0.9980534183196323
in-step-0.png;in-screen-7.png;0.9933922481849627;0.9913836839617068;0.9947430044233756
in-step-0.png;in-screen-8.png;0.9964329561002381;0.9956239275029583;0.9969459618101728
in-step-0.png;in-screen-9.png;0.9967962732903417;0.9959943392316226;0.9973342034521824
in-step-1.png;in-screen-0.png;0.9924543242547358;0.9897580354340999;0.9943167614420365
in-step-1.png;in-screen-1.png;0.9995247073453295;0.9994690386630185;0.9995638807482097
in-step-1.png;in-screen-2.png;0.9933867095325954;0.9913199339625182;0.9948196788142286
in-step-1.png;in-screen-3.png;0.9935978928840395;0.9917599778630075;0.9949179955103876
in-step-1.png;in-screen-4.png;0.9945916056509615;0.9927716061651345;0.9959346812387199
in-step-1.png;in-screen-5.png;0.9933341073251887;0.9913658495771864;0.9947527419553771
in-step-1.png;in-screen-6.png;0.9920428378699094;0.9890016798752252;0.99427018310465
in-step-1.png;in-screen-7.png;0.9948362353078034;0.9934527720485167;0.9958910021886898
in-step-1.png;in-screen-8.png;0.9923160366552678;0.9896487261452035;0.9941258282789046
in-step-1.png;in-screen-9.png;0.9921296332365074;0.9890424563167074;0.9943077529423692
in-step-2.png;in-screen-0.png;0.9957441668023178;0.994634858865472;0.9964992286451291
in-step-2.png;in-screen-1.png;0.9930361006998222;0.990330808745429;0.9948815125791964
in-step-2.png;in-screen-2.png;0.9995256799352935;0.9995009481625639;0.9995581179318551
in-step-2.png;in-screen-3.png;0.9958391328344708;0.9951583081194098;0.9963908452710671
in-step-2.png;in-screen-4.png;0.9925499810020809;0.9903375440743857;0.994017843593457
in-step-2.png;in-screen-5.png;0.9949270541959193;0.9934575526192392;0.9959333533229369
in-step-2.png;in-screen-6.png;0.9948227325990744;0.9929988261770234;0.9960848367260929
in-step-2.png;in-screen-7.png;0.9945671029744542;0.993282106380794;0.9954742277944345
in-step-2.png;in-screen-8.png;0.9950739914172786;0.9938712237645339;0.9958531527975607
in-step-2.png;in-screen-9.png;0.9958898813632663;0.9945928405334632;0.9968470483935802
in-step-3.png;in-screen-0.png;0.9964330961330706;0.9955972353247704;0.9970561808005666
in-step-3.png;in-screen-1.png;0.9929992804043648;0.9905614795856154;0.9947180656574658
in-step-3.png;in-screen-2.png;0.9956051426187166;0.9949894188102659;0.9961006538037165
in-step-3.png;in-screen-3.png;0.9995312501554056;0.9995141623218499;0.999559638561611
in-step-3.png;in-screen-4.png;0.9932538273117001;0.9914559065176436;0.994494361905802
in-step-3.png;in-screen-5.png;0.9963254937177589;0.9956373999492594;0.9968732552185969
in-step-3.png;in-screen-6.png;0.9964091062682776;0.9953893559252757;0.9971262589756547
in-step-3.png;in-screen-7.png;0.9941929914501806;0.9929297765781756;0.9950546277381053
in-step-3.png;in-screen-8.png;0.9984570669464293;0.9979034018454302;0.9988276843879187
in-step-3.png;in-screen-9.png;0.9966548360743911;0.9955543723959478;0.9974993458090681
in-step-4.png;in-screen-0.png;0.9922940615171498;0.9896694115849526;0.994096434259654
in-step-4.png;in-screen-1.png;0.994119741006447;0.991817788924043;0.9958214032984806
in-step-4.png;in-screen-2.png;0.9924348453381476;0.990220335592268;0.9939568406143109
in-step-4.png;in-screen-3.png;0.9933752549665075;0.9915471992025785;0.9946463820037651
in-step-4.png;in-screen-4.png;0.9995407125173044;0.9995190196175595;0.9995688882325009
in-step-4.png;in-screen-5.png;0.9930055535653984;0.9909707892334934;0.9944375119281205
in-step-4.png;in-screen-6.png;0.9929356065923725;0.9906214503826808;0.9947145499699505
in-step-4.png;in-screen-7.png;0.9934595766445522;0.9917914019226362;0.9946497533039055
in-step-4.png;in-screen-8.png;0.9932697028720513;0.9911644742887511;0.9947049314049697
in-step-4.png;in-screen-9.png;0.9920616598980453;0.9892716375992687;0.9941165135493384
in-step-5.png;in-screen-0.png;0.9964238781441387;0.995442545558059;0.997089982115081
in-step-5.png;in-screen-1.png;0.9929288346526394;0.9903552451849688;0.9947646025943799
in-step-5.png;in-screen-2.png;0.9948724456803387;0.99346324764079;0.9958319736541037
in-step-5.png;in-screen-3.png;0.9964991636851082;0.9957852081673108;0.997028058951488
in-step-5.png;in-screen-4.png;0.9930679412275532;0.990942439647347;0.9945736561264132
in-step-5.png;in-screen-5.png;0.9995323853902621;0.9995122937225517;0.999560646109418
in-step-5.png;in-screen-6.png;0.9977603409267789;0.9971186451192878;0.9982120217802305
in-step-5.png;in-screen-7.png;0.9943263698975571;0.9928368498525327;0.995248026895043
in-step-5.png;in-screen-8.png;0.9966944864794;0.996024984267843;0.9972081618716137
in-step-5.png;in-screen-9.png;0.9951648939670895;0.9938902131852587;0.9961390333551726
in-step-6.png;in-screen-0.png;0.9975431621332843;0.9967908502211662;0.998007207471127
in-step-6.png;in-screen-1.png;0.9914691443927026;0.9875547950298575;0.9942325301979272
in-step-6.png;in-screen-2.png;0.9946465199790534;0.9927432572733763;0.9959255803866066
